age,job,marital,education,default,balance,housing,loan,month,duration,campaign,pdays,previous,y
30,unemployed,married,primary,no,1787,no,no,oct,79,1,-1,0,no
33,services,married,secondary,no,4789,yes,yes,may,220,1,339,4,no
35,management,single,tertiary,no,1350,yes,no,apr,185,1,330,1,no
30,management,married,tertiary,no,1476,yes,yes,jun,199,4,-1,0,no
59,blue-collar,married,secondary,no,0,yes,no,may,226,1,-1,0,no
35,management,single,tertiary,no,747,no,no,feb,141,2,176,3,no
36,self-employed,married,tertiary,no,307,yes,no,may,341,1,330,2,no
39,technician,married,secondary,no,147,yes,no,may,151,2,-1,0,no
41,entrepreneur,married,tertiary,no,221,yes,no,may,57,2,-1,0,no
43,services,married,primary,no,-88,yes,yes,apr,313,1,147,2,no
39,services,married,secondary,no,9374,yes,no,may,273,1,-1,0,no
43,admin.,married,secondary,no,264,yes,no,apr,113,2,-1,0,no
36,technician,married,tertiary,no,1109,no,no,aug,328,2,-1,0,no
20,student,single,secondary,no,502,no,no,apr,261,1,-1,0,yes
31,blue-collar,married,secondary,no,360,yes,yes,jan,89,1,241,1,no
40,management,married,tertiary,no,194,no,yes,aug,189,2,-1,0,no
56,technician,married,secondary,no,4073,no,no,aug,239,5,-1,0,no
37,admin.,single,tertiary,no,2317,yes,no,apr,114,1,152,2,no
25,blue-collar,single,primary,no,-221,yes,no,may,250,1,-1,0,no
31,services,married,secondary,no,132,no,no,jul,148,1,152,1,no
38,management,divorced,unknown,no,0,yes,no,nov,96,2,-1,0,no
42,management,divorced,tertiary,no,16,no,no,nov,140,3,-1,0,no
44,services,single,secondary,no,106,no,no,jun,109,2,-1,0,no
44,entrepreneur,married,secondary,no,93,no,no,jul,125,2,-1,0,no
26,housemaid,married,tertiary,no,543,no,no,jan,169,3,-1,0,no
41,management,married,tertiary,no,5883,no,no,nov,182,2,-1,0,no
55,blue-collar,married,primary,no,627,yes,no,may,247,1,-1,0,no
67,retired,married,unknown,no,696,no,no,aug,119,1,105,2,no
56,self-employed,married,secondary,no,784,no,yes,jul,149,2,-1,0,no
53,admin.,married,secondary,no,105,no,yes,aug,74,2,-1,0,no
68,retired,divorced,secondary,no,4189,no,no,jul,897,2,-1,0,yes
31,technician,married,secondary,no,171,no,no,aug,81,3,-1,0,no
59,management,married,secondary,no,42,no,no,nov,40,1,-1,0,no
32,management,single,tertiary,no,2536,yes,no,aug,958,6,-1,0,yes
49,technician,married,tertiary,no,1235,no,no,aug,354,3,-1,0,yes
